id,"Suit Obsession/Color","Graphics","Scrawls","Phase","Obsession","Specialty","Vibes","Location","Headgear Accessory","Accessory","Totem","Creature/Plant","Suit","Sanity","Headgear","Looks Rare","Ambition","Bane","Mood","Desire","Graphic","Suit Style/Color","Suit Accessory","Backpack","Style"
1213,"Solid","Union of Merchants","None","Phase 1","None","None","None","The Blue","None","Bolt Harp","None","None","Kreegal Cloak","None","Soup Gagers","None","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
1214,"Solid","No Damage","None","Phase 1","None","None","None","Scablands","Shutter Visor","Faulk's Icepick","None","None","Pitchfork Prongshell","None","None","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1215,"Cap Flag","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","None","Caddypack","None"
1216,"Solid","Venonauts","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Pitchfork Prongshell","None","Clincher x Bincal","Gastrotech","None","None","None","None","None","None","None","Bobpack","None"
1217,"Solid","Combustible","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Vayon Worksuit","None","Sock","Junkyard-built","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1218,"Solid","Carver","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Fursuit","None","Gloamwight","Percussive","None","None","None","None","None","None","None","None","None"
1219,"Solid","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Smocker","None","Backstab Squeezebox","Pistols","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
0122,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Chainflicker","None","None","Kreegal Cloak","None","Darksight","Tribal","None","None","None","None","None","None","Disc Regulator","The Sink","None"
1220,"Solid","Beshtala-Chanko","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Smocker","None","Backstab Squeezebox","None","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1221,"Solid","Ji","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","Amplifier","Bobpack","None"
1222,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Smocker","None","Korkhead","Melee","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1223,"Solid","League of Channel","None","Phase 1","None","None","None","Scablands","Utility Headphones","Chainflicker","None","None","Prongshell","None","None","Headphones","None","None","None","None","None","None","None","The Sink","None"
1224,"Solid","Machinist Social Club","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Gutter Shirt","None","Good King Maude","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1225,"Solid","The Transcendentalists","Yes","Phase 1","None","None","None","Scablands","Cageyes","The (Fat) Koltso","None","None","Pitchfork Prongshell","None","Charybdis","Gastrotech","None","None","None","None","None","None","None","None","None"
1226,"Solid","Glass Womb","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Kreegal Cloak","None","Korkhead","None","None","None","None","None","None","None","None","Caddypack","None"
1227,"None","None","None","Phase 1","None","Cold","None","Scablands","None","None","None","None","None","None","None","Legendary","None","None","None","None","None","None","None","None","None"
1228,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Kreegal Cloak","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Industrial Regulator","Squirrel Pack","None"
1229,"Solid","Ji","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Kreegal Cloak","None","Good King Maude","Pistols","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
0123,"Solid","Slash Patcher","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Gutter Shirt","None","Soup Gagers","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1230,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Smocker","None","The Clincher","Pistols","None","None","None","None","None","None","None","Plant Buddy","None"
1231,"Solid","Dugall Freight","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Kreegal Cloak","None","Backstab Squeezebox","None","None","None","None","None","None","None","None","The Sink","None"
1232,"Rust","The Pyramid Order","None","Phase 1","None","None","None","The Blue","None","The Nozzle","None","Berg, Fane","Platemail","None","Good King Maude","Pistols","None","None","None","None","None","None","Industrial Regulator","Poacher Pots","None"
1233,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Smocker","None","The Channelrat","Junkyard-built","None","None","None","None","None","None","None","Squirrel Pack","None"
1234,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Vayon Worksuit","None","Yawper","None","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1235,"Solid","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Grounder Pounder","None","Rustler's Braincage","Melee","None","None","None","None","None","None","None","None","None"
1236,"Solid","Glass Womb","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Vayon Worksuit","None","Backstab Squeezebox","Junkyard-built","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1237,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Gutter Shirt","None","Muckface","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1238,"Solid","Gael","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Pitchfork Prongshell","None","Gloamwight","Percussive","None","None","None","None","None","None","None","Plant Buddy","None"
1239,"Solid","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Kreegal Cloak","None","Korkhead","None","None","None","None","None","None","None","None","Squirrel Pack","None"
0124,"Solid","Venonauts","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Gutter Shirt","None","Baghead","None","None","None","None","None","None","None","None","None","None"
1240,"Solid","Slash Patcher","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Vayon Worksuit","None","The Wozer","Pistols","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1241,"Solid","Carver","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Gutter Shirt","None","Shutters","Junkyard-built","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1242,"Rust","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Platemail","None","Rustler's Braincage","None","None","None","None","None","None","None","None","The Sink","None"
1243,"Solid","Roving Terror","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Kreegal Cloak","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1244,"Cap Flag","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1245,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1246,"Solid","Carver","None","Phase 1","None","None","None","The Blue","None","Everdull Snippies","None","None","Kreegal Cloak","None","The Channelrat","None","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
1247,"Rust","Beshtala Expatriation Roster","None","Phase 1","None","None","None","The Blue","None","Hull Breacher","None","None","Platemail","None","Soup Gagers","None","None","None","None","None","None","None","None","None","None"
1248,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Round Foot","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1249,"Solid","Cathedral","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
0125,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Vayon Worksuit","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Disc Regulator","Scrapper","None"
1250,"Cap Flag","Beshtala Expatriation Roster","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","The Channelrat","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1251,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Grounder Pounder","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1252,"Solid","Cross of the Round Style","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Pitchfork Prongshell","None","Darksight","Tribal","None","None","None","None","None","None","None","Squirrel Pack","None"
1253,"Grasslands","Dark Ether House","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Yawper","Pistols","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1254,"Cap Flag","Wings","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Smocker","None","The Scaper","Melee","None","None","None","None","None","None","Encased Regulator","Scrapper","None"
1255,"Solid","Survivalist Guild","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Pitchfork Prongshell","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1256,"Solid","Lethal","None","Phase 1","None","None","None","The Blue","None","The Straight Smile","None","None","Vayon Worksuit","None","The Hoodie","Melee","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1257,"Cap Flag","Gael","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","The Clincher","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1258,"Solid","Cathedral","None","Phase 1","None","None","None","The Blue","None","Trunker","None","None","Gutter Shirt","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1259,"None","None","None","Phase 1","Vengeance","None","None","Scablands","None","None","None","None","None","None","None","Legendary","None","None","None","None","None","None","None","None","None"
0126,"Solid","Margul","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Darksight","Tribal","None","None","None","None","None","None","None","Bobpack","None"
1260,"Solid","Carver","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Kreegal Cloak","None","Gloamwight","Percussive","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1261,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Prongshell","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
1262,"Grasslands","Cathedral","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1263,"Solid","Lethal","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Vayon Worksuit","None","Baghead","Melee","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1264,"Solid","Survivalist Guild","None","Phase 1","None","None","None","The Blue","None","Hull Breacher","None","None","Kreegal Cloak","None","Muckface","Gastrotech","None","None","None","None","None","None","None","Bobpack","None"
1265,"Solid","Survivalist Guild","Yes","Phase 1","None","None","None","The Blue","None","Flocker","None","None","Smocker","None","Korkhead","None","None","None","None","None","None","None","None","Bobpack","None"
1266,"Cap Flag","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Soup Gagers","Pistols","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1267,"Solid","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Kreegal Cloak","None","Rustler's Braincage","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1268,"Rust","The Man Earlie Expeditionary Society","None","Phase 1","None","None","None","The Blue","None","Trunker","None","None","Platemail","None","The Scaper","None","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
1269,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Prongshell","None","Muckface","Gastrotech","None","None","None","None","None","None","None","The Sink","None"
0127,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Kreegal Cloak","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1270,"Solid","Cathedral","None","Phase 1","None","None","None","The Blue","None","Steady Hammer","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
1271,"Solid","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1272,"Cap Flag","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1273,"Cap Flag","Longhaulers","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1274,"Cap Flag","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","The Scaper","None","None","None","None","None","None","None","Amplifier","Caddypack","None"
1275,"Cap Flag","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Smocker","None","Rustler's Braincage","Melee","None","None","None","None","None","None","None","The Sink","None"
1276,"Solid","Cathedral","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1277,"Solid","The Pyramid Order","Yes","Phase 1","None","None","None","Scablands","Specs","The (Fat) Koltso","None","None","Smocker","None","None","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1278,"Solid","Topography Society","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","None","Smocker","None","Good King Maude","Pistols","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1279,"Cap Flag","House of Ourbous","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","None","Bobpack","None"
0128,"Solid","Margul","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Fursuit","None","Darksight","Tribal","None","None","None","None","None","None","None","None","None"
1280,"Solid","High Tox","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1281,"Solid","Venonauts","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1282,"Solid","Ji","None","Phase 1","None","None","None","Scablands","None","Chainflicker","None","None","Prongshell","None","None","None","None","None","None","None","None","None","None","Bobpack","None"
1283,"Solid","Combustible","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Smocker","None","The Clincher","Melee","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1284,"Solid","Deepsatch","None","Phase 1","None","None","None","The Blue","None","Heavy Spigot","None","None","Kreegal Cloak","None","The Stalker","Melee","None","None","None","None","None","None","None","None","None"
1285,"Solid","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Prongshell","None","Rustler's Braincage","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1286,"Grasslands","Carver","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Deathshead","Percussive","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1287,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Wedge","None","None","Smocker","None","Gloamwight","Percussive","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1288,"Solid","Saddler Racing League","None","Phase 1","None","None","None","The Blue","None","Steady Hammer","None","None","Vayon Worksuit","None","Puffy Face","None","None","None","None","None","None","None","None","Bobpack","None"
1289,"Cap Flag","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Good King Maude","Percussive","None","None","None","None","None","None","Heavy Duty Regulator","Scrapper","None"
0129,"Solid","Free Fringe","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Vayon Worksuit","None","Shutters","None","None","None","None","None","None","None","Utility Vest","Squirrel Pack","None"
1290,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Prongshell","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","None","Caddypack","None"
1291,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Kreegal Cloak","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
1292,"Solid","Mesmegraph","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Gutter Shirt","None","Korkhead","None","None","None","None","None","None","None","None","Bobpack","None"
1293,"Cap Flag","Carver","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Smocker","None","Astromask","Tribal","None","None","None","None","None","None","None","Plant Buddy","None"
1294,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Smocker","None","Yawper","None","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1295,"Rust","House of Ourbous","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Platemail","None","Good King Maude","Pistols","None","None","None","None","None","None","None","None","None"
1296,"Cap Flag","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Amplifier","The Sink","None"
1297,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Deathshead","Percussive","None","None","None","None","None","None","None","None","None"
1298,"Cap Flag","Glass Womb","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1299,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Gutter Shirt","None","Rustler's Braincage","Percussive","None","None","None","None","None","None","Encased Regulator","Scrapper","None"
0013,"Solid","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Vayon Worksuit","None","Sock","Pistols","None","None","None","None","None","None","Encased Regulator","Plant Buddy","None"
0130,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Kreegal Cloak","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","None","None","None"
1300,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Kreegal Cloak","None","Good King Maude","None","None","None","None","None","None","None","Industrial Regulator","Squirrel Pack","None"
1301,"Solid","The Path","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1302,"Solid","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1303,"Solid","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Vayon Worksuit","None","Good King Maude","None","None","None","None","None","None","None","Utility Vest","Bobpack","None"
1304,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Vayon Worksuit","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1305,"Camouflage","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Prongshell","None","Good King Maude","None","None","None","None","None","None","None","None","None","None"
1306,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","The Blue","None","Hull Breacher","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","None","Bobpack","None"
1307,"Rust","Machinist Social Club","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Platemail","None","Good King Maude","Pistols","None","None","None","None","None","None","Industrial Regulator","Plant Buddy","None"
1308,"Solid","The Man Earlie Expeditionary Society","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","None","The Sink","None"
1309,"Solid","Free Fringe","None","Phase 1","None","None","None","The Blue","None","Steady Hammer","None","None","Gutter Shirt","None","Astromask","Tribal","None","None","None","None","None","None","None","Caddypack","None"
0131,"Solid","Venonauts","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Gutter Shirt","None","Baghead","Junkyard-built","None","None","None","None","None","None","None","None","None"
1310,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Vayon Worksuit","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1311,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","Encased Regulator","Scrapper","None"
1312,"Camouflage","Wings","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Prongshell","None","The Scaper","None","None","None","None","None","None","None","None","Bobpack","None"
1313,"Cap Flag","The Transcendentalists","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Smocker","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1314,"Cap Flag","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1315,"Solid","Ji","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Vayon Worksuit","None","Baghead","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1316,"Solid","Mark Stay","None","Phase 1","None","None","None","The Blue","None","Heavy Spigot","None","None","Kreegal Cloak","None","Soup Gagers","Melee","None","None","None","None","None","None","None","None","None"
1317,"Solid","Wings","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
1318,"Solid","Topography Society","None","Phase 1","None","None","None","Scablands","Specs","Wedge","None","None","Pitchfork Prongshell","None","None","None","None","None","None","None","None","None","None","None","None"
1319,"Cap Flag","Dark Ether House","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Smocker","None","Soup Gagers","None","None","None","None","None","None","None","None","None","None"
0132,"Cap Flag","No Damage","None","Phase 1","None","None","None","Scablands","Specs","Candlestick","None","None","Smocker","None","None","Pistols","None","None","None","None","None","None","None","Caddypack","None"
1320,"Solid","Topography Society","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","Fane","Gutter Shirt","None","Good King Maude","Pistols","None","None","None","None","None","None","Encased Regulator","Plant Buddy","None"
1321,"Solid","Beshtala Expatriation Roster","None","Phase 1","None","None","None","The Blue","None","Steady Hammer","None","None","Grounder Pounder","None","Puffy Face","None","None","None","None","None","None","None","None","None","None"
1322,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Pitchfork Prongshell","None","Good King Maude","Pistols","None","None","None","None","None","None","None","Squirrel Pack","None"
1323,"Solid","Mark Stay","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Kreegal Cloak","None","The Clincher","Pistols","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1324,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Kreegal Cloak","None","Deathshead","Percussive","None","None","None","None","None","None","None","Squirrel Pack","None"
1325,"Cap Flag","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Smocker","None","Good King Maude","Melee","None","None","None","None","None","None","Amplifier","The Sink","None"
1326,"Solid","Dugall Freight","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Grounder Pounder","None","Good King Maude","Pistols","None","None","None","None","None","None","None","None","None"
1327,"Rust","Cog Crew","Yes","Phase 1","None","None","None","The Blue","None","The Straight Smile","None","None","Platemail","None","Korkhead","Melee","None","None","None","None","None","None","None","None","None"
1328,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Kreegal Cloak","None","Good King Maude","Melee","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1329,"Solid","The Forsaken","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Gutter Shirt","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
0133,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Grounder Pounder","None","Darksight","Tribal","None","None","None","None","None","None","None","The Sink","None"
1330,"Solid","Mercenary","None","Phase 1","None","None","None","The Blue","None","Reef Sweeper","None","None","Pitchfork Prongshell","None","Soup Gagers","Melee","None","None","None","None","None","None","Satchel Bandolier","Bobpack","None"
1331,"Solid","Longhaulers","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Vayon Worksuit","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1332,"Solid","High Tox","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Vayon Worksuit","None","Rustler's Braincage","None","None","None","None","None","None","None","Disc Regulator","Caddypack","None"
1333,"Solid","Glass Womb","None","Phase 1","None","None","None","The Blue","None","The Spunker","None","Berg, Fane","Vayon Worksuit","None","Good King Maude","None","None","None","None","None","None","None","Encased Regulator","Poacher Pots","None"
1334,"Solid","Round Style","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Pitchfork Prongshell","None","Good King Maude","None","None","None","None","None","None","None","None","None","None"
1335,"Solid","The Path","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Kreegal Cloak","None","Good King Maude","Pistols","None","None","None","None","None","None","Industrial Regulator","The Sink","None"
1336,"Rust","Topography Society","None","Phase 1","None","None","None","The Blue","None","Bolt Harp","None","None","Platemail","None","Boxhead","None","None","None","None","None","None","None","None","The Sink","None"
1337,"Solid","Freebooters Flag","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Vayon Worksuit","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1338,"Rust","The Path","None","Phase 1","None","None","None","The Blue","None","Steady Hammer","None","None","Platemail","None","Boxhead","None","None","None","None","None","None","None","Multiband Regulator","The Sink","None"
1339,"Cap Flag","Round Style","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
0134,"Solid","Dugall Freight","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Vayon Worksuit","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1340,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Baghead","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1341,"Solid","Survivalist Guild","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Vayon Worksuit","None","Muckface","Gastrotech","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1342,"Solid","The Borsch Conservatory of Gastrotechs","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Kreegal Cloak","None","Muckface","Gastrotech","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
