id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
1758,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","The Sink","Heavy Duty Regulator","The Pyramid Order"
1759,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Rustler's Braincage","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","The Man Earlie Expeditionary Society"
1760,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Boxhead","White Air Supply Amulet","Fancypack","Fine Tool Harness","Dugall Freight"
1761,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Good King Maude","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Beshtala Expatriation Roster"
1762,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","None","None","None","Union of Merchants"
1763,"Prongseat","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Puffy Face","Light Grey Decontamination Amulet","None","None","Free Fringe"
1764,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","The Spyhopper","None","None","None","The Forsaken"
1765,"Death Beam","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Scaper","Medium Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Freebooters Flag"
1766,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Trailmaker","Medium Grey Air Supply Amulet","Bobpack","Simple Regulator","Mercenary"
1767,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","Trailmaker","None","None","None","Freebooters Flag"
1768,"Hull Hooker","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","Red Milo Charm","Caddypack","Fine Tool Harness","The Path"
1769,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","Light Grey Decontamination Amulet","None","Utility Vest","High Tox"
1770,"Death Beam","Drifter","Hypervisor","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","BC Shiner","None","Little Huffy","Heavy Duty Regulator","Mercenary"
1771,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","The Spyhopper","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Topography Society"
1772,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","None","Utility Vest","Cathedral"
1773,"Bolt Harp","Drifter","Hypervisor","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Kipper","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","No Damage"
1774,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Stalker","None","None","Utility Vest","Cathedral"
1775,"The (Fat) Koltso","Drifter","Leergear","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Kipper","Medium Grey Drippy Charm","None","None","Cathedral"
1776,"The Nozzle","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","Light Grey Suit Integrity Amulet","Little Huffy","Multiband Regulator","No Damage"
1777,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Scaper","None","None","Utility Vest","Dugall Freight"
1778,"Roulette","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","BC Shiner","White Drippy Charm","The Sink","Fine Tool Harness","Orbital Miners Guild"
1779,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Stalker","None","Little Huffy","Heavy Duty Regulator","Freebooters Flag"
1780,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Good King Maude","None","The Sink","Simple Regulator","No Damage"
1781,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Cowl","Smocker","The Stalker","Dark Grey Air Supply Amulet","Little Huffy","None","Freebooters Flag"
1782,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Rustler's Braincage","Light Grey Milo Charm","The Sink","Multiband Regulator","Cathedral"
1783,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Hangtooth","None","Caddypack","Multiband Regulator","House of Ourbous"
1784,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","The Scaper","None","Fancypack","Heavy Duty Regulator","Longhaulers"
1785,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","None","None","High Tox"
1786,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Hangtooth","Dark Grey Sanity Amulet","Little Huffy","Simple Regulator","Orbital Miners Guild"
1787,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Spyhopper","Medium Grey Sanity Amulet","The Sink","Simple Regulator","Grid Gang"
1788,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","White","Cowl","Smocker","The Stalker","None","Caddypack","Encased Regulator","Survivalist Guild"
1789,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Trailmaker","Medium Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Round Power"
1790,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Vayon Worksuit","The Scaper","Light Grey Air Supply Amulet","None","Utility Vest","Mark Stay"
1791,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Puffy Face","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Cove Stalkers"
1792,"Wedge","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Puffy Face","None","The Sink","None","Subsurface Miners Guild"
1793,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Backstab Squeezebox","None","None","Utility Vest","Dugall Freight"
1794,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","The Pillowcase","Light Grey Air Supply Amulet","Fancypack","Encased Regulator","Venonauts"
1795,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Hardhat","None","Caddypack","None","Free Fringe"
1796,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","Light Grey Suit Integrity Amulet","Caddypack","Encased Regulator","Grid Gang"
1797,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","None","Fancypack","Heavy Duty Regulator","Saddler Racing League"
1798,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","Light Grey Air Supply Amulet","Fancypack","Multiband Regulator","Venonauts"
1799,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Stalker","White Air Supply Amulet","Fancypack","Simple Regulator","The Forsaken"
1800,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hangtooth","Medium Grey Sanity Amulet","The Sink","Simple Regulator","Saddler Racing League"
1801,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Boxhead","None","Bobpack","None","Combustible"
1802,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Sacred Passage","Smocker","Rustler's Braincage","None","Caddypack","Simple Regulator","The Path"
1803,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Rustler's Braincage","Dark Grey Drippy Charm","Caddypack","None","Mesmegraph"
1804,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","Medium Grey Sanity Amulet","Caddypack","Heavy Duty Regulator","Mark Stay"
1805,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Hardhat","Medium Grey Drippy Charm","None","None","Slash Patcher"
1806,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Boxhead","White Drippy Charm","Caddypack","Multiband Regulator","Combustible"
1807,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Pillowcase","Yellow Drippy Charm","Fancypack","None","Roving Terror"
1808,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Headforge","None","Fancypack","Heavy Duty Regulator","Longhaulers"
1809,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Trailmaker","White Suit Integrity Amulet","Caddypack","Simple Regulator","The Bench"
1810,"Hull Breacher","Drifter","Driftcore Shades","None","None","Phase 2","The Void","White","Scripture","Kreegal Cloak","The Pillowcase","None","None","None","Dark Ether House"
1811,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Hangtooth","Red Sanity Amulet","The Sink","Multiband Regulator","The Bench"
1812,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Backstab Squeezebox","Medium Grey Air Supply Amulet","Fancypack","Heavy Duty Regulator","Topography Society"
1813,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Good King Maude","Light Grey Milo Charm","Bobpack","Heavy Duty Regulator","Beshtala Expatriation Roster"
1814,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","The Sink","Multiband Regulator","Cove Stalkers"
1815,"Roulette","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","Puffy Face","None","None","Utility Vest","Cove Stalkers"
1816,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","None","None","None","Saddler Racing League"
1817,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Spyhopper","None","The Sink","Heavy Duty Regulator","The Pyramid Order"
1818,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","The Stalker","Dark Grey Air Supply Amulet","Caddypack","Simple Regulator","Deepsatch"
1819,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Rustler's Braincage","Medium Grey Sanity Amulet","None","None","Survivalist Guild"
1820,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","Saddler Racing League"
1821,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Stalker","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","Machinist Social Club"
1822,"The Spunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Stalker","None","The Sink","Multiband Regulator","Cathedral"
1823,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Good King Maude","None","None","None","Engineers Guild"
1824,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","Boxhead","None","None","Utility Vest","Union of Merchants"
1825,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Trailmaker","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","The Bench"
1826,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Hangtooth","Medium Grey Sanity Amulet","None","None","The Man Earlie Expeditionary Society"
1827,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","Hangtooth","Dark Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","Topography Society"
1828,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Scaper","White Air Supply Amulet","Fancypack","Simple Regulator","Topography Society"
1829,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","White","Scripture","Kreegal Cloak","Hangtooth","Dark Grey Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Engineers Guild"
1830,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","Hangtooth","None","None","Utility Vest","Dugall Freight"
1831,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","Light Grey Air Supply Amulet","Little Huffy","Encased Regulator","Beshtala Expatriation Roster"
1832,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","The Stalker","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Union of Merchants"
1833,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Good King Maude","Yellow Air Supply Amulet","Little Huffy","None","Dugall Freight"
1834,"Reef Sweeper","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Prongshell","The Scaper","None","None","None","Saddler Racing League"
1835,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Puffy Face","None","Little Huffy","Heavy Duty Regulator","Mark Stay"
1836,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","Caddypack","Heavy Duty Regulator","Dark Ether House"
1837,"Everdull Snippies","Drifter","Eye Patch","None","None","Phase 2","The Void","Red","Solid","Prongshell","Kipper","None","None","None","Venonauts"
1838,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Hangtooth","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Freebooters Flag"
1839,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Backstab Squeezebox","Light Grey Suit Integrity Amulet","Little Huffy","Heavy Duty Regulator","No Damage"
1840,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","Bobpack","Simple Regulator","High Tox"
1841,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Boxhead","White Air Supply Amulet","Fancypack","Multiband Regulator","Union of Merchants"
1842,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Hardhat","None","None","None","No Damage"
1843,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Trailmaker","Yellow Drippy Charm","Bobpack","Fine Tool Harness","Union of Merchants"
1844,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Backstab Squeezebox","None","The Sink","Multiband Regulator","Cove Stalkers"
1845,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Kreegal Cloak","Headforge","None","Little Huffy","Heavy Duty Regulator","Engineers Guild"
1846,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Headforge","None","Little Huffy","Simple Regulator","The Man Earlie Expeditionary Society"
1847,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Stalker","White Air Supply Amulet","Fancypack","Simple Regulator","Engineers Guild"
1848,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","Boxhead","Light Grey Milo Charm","Fancypack","Encased Regulator","Engineers Guild"
1849,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","Caddypack","Encased Regulator","Mercenary"
1850,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Hardhat","Light Grey Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","Grid Gang"
1851,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Hangtooth","None","None","Utility Vest","Beshtala Expatriation Roster"
1852,"Trunker","Drifter","Leergear","None","None","Phase 2","The Void","White","Cowl","Smocker","The Pillowcase","None","Bobpack","Encased Regulator","The Path"
1853,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Good King Maude","None","None","None","Survivalist Guild"
1854,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","None","None","Utility Vest","Engineers Guild"
1855,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Hangtooth","None","None","None","Beshtala Expatriation Roster"
1856,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Rustler's Braincage","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","Longhaulers"
1857,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","None","Utility Vest","Orbital Miners Guild"
1858,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Spyhopper","Light Grey Decontamination Amulet","Caddypack","Heavy Duty Regulator","Topography Society"
1859,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Hangtooth","Dark Grey Sanity Amulet","Fancypack","Simple Regulator","Combustible"
1860,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","Hangtooth","None","Bobpack","None","The Man Earlie Expeditionary Society"
1861,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","Trailmaker","None","Bobpack","Heavy Duty Regulator","Round Power"
1862,"Roulette","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Kipper","White Drippy Charm","Bobpack","Multiband Regulator","The Path"
1863,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Stalker","Light Grey Air Supply Amulet","Caddypack","Multiband Regulator","Survivalist Guild"
1864,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","None","The Sink","Multiband Regulator","The Path"
1865,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","BC Shiner","None","The Sink","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
1866,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","Headforge","Dark Grey Air Supply Amulet","Little Huffy","Simple Regulator","Deepsatch"
1867,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Good King Maude","None","Bobpack","Heavy Duty Regulator","House of Ourbous"
1868,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Scaper","None","The Sink","None","Slash Patcher"
1869,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Trailmaker","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Freebooters Flag"
1870,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Spyhopper","Light Grey Suit Integrity Amulet","Caddypack","Multiband Regulator","The Borsch Conservatory of Gastrotechs"
1871,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Backstab Squeezebox","None","None","Utility Vest","Cathedral"
1872,"Steady Hammer","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","BC Shiner","None","Caddypack","Heavy Duty Regulator","Beshtala Expatriation Roster"
1873,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Pillowcase","Dark Grey Decontamination Amulet","Bobpack","Simple Regulator","Beshtala Expatriation Roster"
1874,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Headforge","None","Little Huffy","Multiband Regulator","Longhaulers"
1875,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","Light Grey Milo Charm","Bobpack","Multiband Regulator","The Man Earlie Expeditionary Society"
1876,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","The Spyhopper","White Drippy Charm","Caddypack","Simple Regulator","Union of Merchants"
1877,"Chainflicker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","The Spyhopper","Yellow Air Supply Amulet","Little Huffy","Encased Regulator","Longhaulers"
1878,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","None","Caddypack","Heavy Duty Regulator","Venonauts"
1879,"Hull Breacher","Drifter","Hypervisor","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Pillowcase","None","The Sink","None","Roving Terror"
1880,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Rustler's Braincage","None","Fancypack","Heavy Duty Regulator","Dugall Freight"
1881,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","None","Little Huffy","Simple Regulator","Free Fringe"
1882,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","Medium Grey Sanity Amulet","The Sink","Simple Regulator","Engineers Guild"
1883,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hangtooth","None","None","None","Saddler Racing League"
1884,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Kipper","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Topography Society"
1885,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","The Stalker","None","Fancypack","None","The Bench"
1886,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Scaper","Medium Grey Air Supply Amulet","Bobpack","None","House of Ourbous"
1887,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Smocker","Hangtooth","None","Caddypack","Multiband Regulator","No Damage"
1888,"Thruster","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Boxhead","None","Fancypack","Fine Tool Harness","Cathedral"
1889,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Headforge","Medium Grey Drippy Charm","Fancypack","Simple Regulator","Deepsatch"
1890,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hardhat","None","The Sink","Encased Regulator","No Damage"
1891,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","None","Little Huffy","Fine Tool Harness","Subsurface Miners Guild"
1892,"Hull Hooker","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","None","Caddypack","Simple Regulator","The Path"
1893,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","The Stalker","Dark Grey Decontamination Amulet","Fancypack","Multiband Regulator","Freebooters Flag"
1894,"Death Beam","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Soup Gagers","Dark Grey Decontamination Amulet","Little Huffy","Utility Vest","Glass Womb"
1895,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","The Scaper","Light Grey Decontamination Amulet","Caddypack","Multiband Regulator","League of Channel"
1896,"Death Beam","Drifter","Hypervisor","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","The Pillowcase","None","None","None","Engineers Guild"
1897,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Good King Maude","Light Grey Milo Charm","Fancypack","Heavy Duty Regulator","Dugall Freight"
1898,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Rustler's Braincage","None","Fancypack","Heavy Duty Regulator","Longhaulers"
1899,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Rustler's Braincage","None","Fancypack","None","Cathedral"
1900,"Chainflicker","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Puffy Face","None","Caddypack","Encased Regulator","Machinist Social Club"
1901,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Strapt","Duggie","Good King Maude","Yellow Air Supply Amulet","Little Huffy","Fine Tool Harness","Saddler Racing League"
1902,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Scaper","Dark Grey Air Supply Amulet","None","Utility Vest","Longhaulers"
1903,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","Subsurface Miners Guild"
1904,"Steady Hammer","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","BC Shiner","Red Sanity Amulet","The Sink","Heavy Duty Regulator","Cross of the Round Power"
1905,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Boxhead","None","Caddypack","Heavy Duty Regulator","The Bench"
1906,"Round Foot","Drifter","None","None","None","Phase 2","The Void","White","Sacred Passage","Smocker","Rustler's Braincage","None","None","None","Engineers Guild"
1907,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Pillowcase","None","Fancypack","Encased Regulator","Roving Terror"
1908,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Rustler's Braincage","Medium Grey Drippy Charm","The Sink","Heavy Duty Regulator","Cathedral"
1909,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","The Path"
1910,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Puffy Face","Yellow Air Supply Amulet","Little Huffy","Heavy Duty Regulator","High Tox"
1911,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","Backstab Squeezebox","None","Little Huffy","Encased Regulator","Subsurface Miners Guild"
1912,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Heavy Duty Regulator","Margul"
1913,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Rustler's Braincage","None","None","None","The Path"
1914,"Ball Claw","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","BC Shiner","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Subsurface Miners Guild"
1915,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Hangtooth","None","None","None","Freebooters Flag"
1916,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","The Scaper","None","None","None","Beshtala Expatriation Roster"
1917,"Ball Claw","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Solid","Smocker","Kipper","Red Sanity Amulet","The Sink","Simple Regulator","No Damage"
