id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
1669,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Strapt","Simple Regulator","Duggie","Black","Union of Merchants","None","Dark Grey Air Supply Amulet"
1670,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","Subsurface Miners Guild","Yes","White Air Supply Amulet"
1671,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Ball Claw","Foss","None","Vayon Worksuit","Red","Roving Terror","None","None"
1672,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Engineers Guild","None","None"
1673,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Mesmegraph","None","None"
1674,"Trailmaker","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Vayon Worksuit","Black","Union of Merchants","None","None"
1675,"Hardhat","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Cowl","Simple Regulator","Smocker","Blue","Mark Stay","None","Medium Grey Air Supply Amulet"
1676,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","Simple Regulator","Smocker","Yellow","League of Channel","None","Medium Grey Air Supply Amulet"
1677,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Vayon Worksuit","Gray","Beshtala Expatriation Roster","Yes","None"
1678,"Kipper","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Prongshell","Red","No Damage","None","None"
1679,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","None","Smocker","Red","Mol Bon Tunnel","None","Medium Grey Sanity Amulet"
1680,"Backstab Squeezebox","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","Fine Tool Harness","Vayon Worksuit","Green","The Path","None","Light Grey Decontamination Amulet"
1681,"Kipper","The Void","Fancypack","Phase 2","Drifter","Driftcore Shades","None","The Spunker","Solid","Multiband Regulator","Smocker","Gray","The Man Earlie Expeditionary Society","None","White Air Supply Amulet"
1682,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Deverin Jacket","White","Survivalist Guild","Yes","None"
1683,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Solid","None","Prongshell","Green","League of Channel","None","None"
1684,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Free Fringe","Yes","None"
1685,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Cove Carver","Sacred Passage","Simple Regulator","Smocker","Yellow","Union of Merchants","None","Medium Grey Sanity Amulet"
1686,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Solid","Simple Regulator","Deverin Jacket","Red","League of Channel","Yes","White Air Supply Amulet"
1687,"Kipper","The Void","Caddypack","Phase 2","Drifter","Hypervisor","None","The Spunker","Cap Flag","None","Smocker","Red","The Pyramid Order","Yes","Light Grey Decontamination Amulet"
1688,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Green","Saddler Racing League","None","Light Grey Suit Integrity Amulet"
1689,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Combustible","Yes","Medium Grey Drippy Charm"
1690,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","The Bench","None","Medium Grey Drippy Charm"
1691,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Encased Regulator","Kreegal Cloak","Yellow","Freebooters Flag","Yes","White Air Supply Amulet"
1692,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Kreegal Cloak","Gray","The Path","None","Medium Grey Sanity Amulet"
1693,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","None","Smocker","Black","Free Fringe","None","None"
1694,"The Pillowcase","The Void","The Sink","Phase 2","Drifter","None","None","Death Beam","Solid","Encased Regulator","Kreegal Cloak","Gray","Longhaulers","None","None"
1695,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Wedge","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Deepsatch","Yes","White Air Supply Amulet"
1696,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cowl","Simple Regulator","Smocker","Red","Cross of the Round Power","None","Light Grey Milo Charm"
1697,"Kipper","The Void","None","Phase 2","Drifter","Leergear","None","Prongseat","Foss","None","Vayon Worksuit","Red","Orbital Miners Guild","None","None"
1698,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Sacred Passage","Simple Regulator","Smocker","Yellow","Combustible","None","None"
1699,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","The Borsch Conservatory of Gastrotechs","Yes","Light Grey Air Supply Amulet"
1700,"Kipper","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Cowl","None","Smocker","Red","The Man Earlie Expeditionary Society","None","White Drippy Charm"
1701,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Engineers Guild","None","None"
1702,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Multiband Regulator","Deverin Jacket","Yellow","Union of Merchants","Yes","Yellow Drippy Charm"
1703,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Lighthouse Sept","None","Light Grey Suit Integrity Amulet"
1704,"Puffy Face","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Kreegal Cloak","Black","The Borsch Conservatory of Gastrotechs","None","Dark Grey Decontamination Amulet"
1705,"The Pillowcase","The Void","The Sink","Phase 2","Drifter","None","None","Wedge","Sacred Passage","Simple Regulator","Smocker","Gray","The Bench","None","None"
1706,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","None","Smocker","Green","Combustible","None","None"
1707,"The Scaper","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Chords","Simple Regulator","Smocker","Gray","Topography Society","Yes","Light Grey Air Supply Amulet"
1708,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Gray","Survivalist Guild","None","None"
1709,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","Driftcore Shades","None","Wedge","Solid","Encased Regulator","Kreegal Cloak","Yellow","Beshtala Expatriation Roster","Yes","None"
1710,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Hull Hooker","Foss","None","Vayon Worksuit","Yellow","The Bench","None","None"
1711,"The Pillowcase","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","Roving Terror","None","Light Grey Milo Charm"
1712,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Saddler Racing League","None","None"
1713,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Beshtala Expatriation Roster","None","Medium Grey Air Supply Amulet"
1714,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Multiband Regulator","Smocker","White","Subsurface Miners Guild","None","Light Grey Suit Integrity Amulet"
1715,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Solid","Simple Regulator","Deverin Jacket","Red","Longhaulers","None","Light Grey Milo Charm"
1716,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Multiband Regulator","Smocker","Red","Beshtala-Chanko","Yes","Yellow Air Supply Amulet"
1717,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Hypervisor","None","Trunker","Solid","Encased Regulator","Kreegal Cloak","Yellow","The Pyramid Order","Yes","Medium Grey Sanity Amulet"
1718,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Encased Regulator","Smocker","Red","The Man Earlie Expeditionary Society","Yes","Dark Grey Milo Charm"
1719,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Foss","None","Vayon Worksuit","White","Subsurface Miners Guild","None","None"
1720,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Solid","None","Kreegal Cloak","Gray","Slash Patcher","None","None"
1721,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","White","League of Channel","Yes","Yellow Drippy Charm"
1722,"Headforge","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","Utility Vest","Vayon Worksuit","White","Engineers Guild","None","None"
1723,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","The Spunker","Cap Flag","Simple Regulator","Smocker","Yellow","The Path","Yes","Medium Grey Air Supply Amulet"
1724,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Green","Venonauts","None","None"
1725,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Simple Regulator","Smocker","Black","The Path","Yes","Dark Grey Milo Charm"
1726,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","The Koltso","Chords","Simple Regulator","Smocker","Gray","Beshtala-Chanko","None","Light Grey Suit Integrity Amulet"
1727,"Kipper","The Void","None","Phase 2","Drifter","Leergear","None","Prongseat","Foss","Utility Vest","Vayon Worksuit","White","Mesmegraph","None","None"
1728,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Combustible","Yes","None"
1729,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Solid","None","Kreegal Cloak","Gray","Subsurface Miners Guild","None","None"
1730,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","Hull Hooker","Foss","Fine Tool Harness","Vayon Worksuit","Green","House of Ourbous","None","None"
1731,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Foss","Fine Tool Harness","Vayon Worksuit","Green","Cross of the Round Power","None","None"
1732,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Everdull Snippies","Cap Flag","Simple Regulator","Smocker","Yellow","The Pyramid Order","Yes","None"
1733,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Encased Regulator","Deverin Jacket","Red","Union of Merchants","None","None"
1734,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Faulk's Icepick","Foss","Utility Vest","Vayon Worksuit","White","Engineers Guild","None","None"
1735,"Headforge","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Chords","None","Smocker","Black","The Forsaken","None","None"
1736,"BC Shiner","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","Thruster","Sacred Passage","Simple Regulator","Smocker","Green","No Damage","Yes","White Air Supply Amulet"
1737,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Beshtala-Chanko","None","Light Grey Milo Charm"
1738,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","Gray","Orbital Miners Guild","None","Red Sanity Amulet"
1739,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Cap Flag","None","Smocker","Green","Cathedral","None","Light Grey Milo Charm"
1740,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Solid","Encased Regulator","Vayon Worksuit","Gray","Venonauts","None","Red Sanity Amulet"
1741,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Arvis Edition","Encased Regulator","Deverin Jacket","Red","The Path","None","None"
1742,"BC Shiner","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","White","Topography Society","None","None"
1743,"Headforge","The Void","None","Phase 2","Drifter","None","None","Thruster","Scripture","None","Kreegal Cloak","White","Mesmegraph","None","None"
1744,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","Gray","The Man Earlie Expeditionary Society","None","None"
1745,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","Thruster","Solid","Simple Regulator","Smocker","Gray","The Man Earlie Expeditionary Society","None","Yellow Drippy Charm"
1746,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","Roulette","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","The Pyramid Order","None","White Air Supply Amulet"
1747,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","The Koltso","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Beshtala-Chanko","Yes","Yellow Drippy Charm"
1748,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Hooker","Cowl","Encased Regulator","Smocker","White","Margul","None","Light Grey Suit Integrity Amulet"
1749,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Encased Regulator","Vayon Worksuit","Gray","Survivalist Guild","None","Medium Grey Drippy Charm"
1750,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","None","Vayon Worksuit","Green","The Forsaken","None","None"
1751,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The Shriek","Solid","None","Prongshell","Green","No Damage","None","None"
1752,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","Yes","None"
1753,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Solid","Multiband Regulator","Kreegal Cloak","Gray","Lighthouse Sept","Yes","None"
1754,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Ball Claw","Solid","None","Kreegal Cloak","Green","Union of Merchants","None","None"
1755,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","The Man Earlie Expeditionary Society","None","Light Grey Suit Integrity Amulet"
1756,"BC Shiner","The Void","Fancypack","Phase 2","Drifter","Leergear","None","Roulette","Solid","Simple Regulator","Smocker","Gray","The Borsch Conservatory of Gastrotechs","None","None"
1757,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The Shriek","Solid","None","Smocker","Black","High Tox","None","Dark Grey Sanity Amulet"
1758,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Pyramid Order","None","None"
1759,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Cowl","Encased Regulator","Smocker","Green","The Man Earlie Expeditionary Society","None","Light Grey Suit Integrity Amulet"
1760,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Fine Tool Harness","Deverin Jacket","White","Dugall Freight","None","White Air Supply Amulet"
1761,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Beshtala Expatriation Roster","None","Medium Grey Sanity Amulet"
1762,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Kreegal Cloak","Gray","Union of Merchants","None","None"
1763,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","None","Vayon Worksuit","White","Free Fringe","None","Light Grey Decontamination Amulet"
1764,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","None","Vayon Worksuit","Green","The Forsaken","None","None"
1765,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","Death Beam","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Freebooters Flag","Yes","Medium Grey Air Supply Amulet"
1766,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Sacred Passage","Simple Regulator","Smocker","Yellow","Mercenary","None","Medium Grey Air Supply Amulet"
1767,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Yellow","Freebooters Flag","None","None"
1768,"Kipper","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Hooker","Solid","Fine Tool Harness","Vayon Worksuit","Gray","The Path","Yes","Red Milo Charm"
1769,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Black","High Tox","None","Light Grey Decontamination Amulet"
1770,"BC Shiner","The Void","Little Huffy","Phase 2","Drifter","Hypervisor","None","Death Beam","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Mercenary","Yes","None"
1771,"The Spyhopper","The Void","Bobpack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Topography Society","None","Yellow Drippy Charm"
1772,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Utility Vest","Vayon Worksuit","Gray","Cathedral","None","None"
1773,"Kipper","The Void","Fancypack","Phase 2","Drifter","Hypervisor","None","Bolt Harp","Solid","Encased Regulator","Deverin Jacket","White","No Damage","None","Light Grey Suit Integrity Amulet"
1774,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Black","Cathedral","None","None"
1775,"Kipper","The Void","None","Phase 2","Drifter","Leergear","None","The (Fat) Koltso","Foss","None","Vayon Worksuit","White","Cathedral","None","Medium Grey Drippy Charm"
1776,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Eye Patch","None","The Nozzle","Solid","Multiband Regulator","Kreegal Cloak","Red","No Damage","Yes","Light Grey Suit Integrity Amulet"
1777,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Chainflicker","Strapt","Utility Vest","Duggie","Black","Dugall Freight","None","None"
1778,"BC Shiner","The Void","The Sink","Phase 2","Drifter","None","None","Roulette","Solid","Fine Tool Harness","Deverin Jacket","Green","Orbital Miners Guild","None","White Drippy Charm"
1779,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Freebooters Flag","Yes","None"
1780,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Solid","Simple Regulator","Deverin Jacket","White","No Damage","None","None"
1781,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Cowl","None","Smocker","White","Freebooters Flag","Yes","Dark Grey Air Supply Amulet"
1782,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The Shriek","Solid","Multiband Regulator","Deverin Jacket","Gray","Cathedral","None","Light Grey Milo Charm"
1783,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","House of Ourbous","Yes","None"
1784,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Longhaulers","None","None"
1785,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Cowl","None","Smocker","Blue","High Tox","None","None"
1786,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Cowl","Simple Regulator","Smocker","Red","Orbital Miners Guild","Yes","Dark Grey Sanity Amulet"
1787,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","Grid Gang","None","Medium Grey Sanity Amulet"
1788,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Cowl","Encased Regulator","Smocker","White","Survivalist Guild","Yes","None"
1789,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Scripture","Multiband Regulator","Kreegal Cloak","Gray","Round Power","Yes","Medium Grey Air Supply Amulet"
1790,"The Scaper","The Void","None","Phase 2","Drifter","None","None","The Koltso","Solid","Utility Vest","Vayon Worksuit","Yellow","Mark Stay","None","Light Grey Air Supply Amulet"
1791,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Chords","Multiband Regulator","Smocker","Black","Cove Stalkers","None","Light Grey Suit Integrity Amulet"
1792,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Wedge","Cap Flag","None","Smocker","Red","Subsurface Miners Guild","None","None"
1793,"Backstab Squeezebox","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","Utility Vest","Vayon Worksuit","Gray","Dugall Freight","None","None"
1794,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","The Koltso","Cowl","Encased Regulator","Smocker","Blue","Venonauts","None","Light Grey Air Supply Amulet"
1795,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Yellow","Free Fringe","Yes","None"
1796,"Puffy Face","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Encased Regulator","Vayon Worksuit","Gray","Grid Gang","Yes","Light Grey Suit Integrity Amulet"
1797,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Saddler Racing League","None","None"
1798,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","The Koltso","Solid","Multiband Regulator","Kreegal Cloak","Red","Venonauts","None","Light Grey Air Supply Amulet"
1799,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","Simple Regulator","Smocker","Yellow","The Forsaken","None","White Air Supply Amulet"
1800,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","Saddler Racing League","None","Medium Grey Sanity Amulet"
1801,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","Trunker","Cap Flag","None","Smocker","Red","Combustible","None","None"
1802,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Sacred Passage","Simple Regulator","Smocker","Gray","The Path","Yes","None"
1803,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Cap Flag","None","Smocker","White","Mesmegraph","None","Dark Grey Drippy Charm"
1804,"Puffy Face","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Mark Stay","None","Medium Grey Sanity Amulet"
1805,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Red","Slash Patcher","None","Medium Grey Drippy Charm"
1806,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Multiband Regulator","Smocker","Gray","Combustible","None","White Drippy Charm"
1807,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","None","Smocker","Red","Roving Terror","None","Yellow Drippy Charm"
1808,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Longhaulers","None","None"
1809,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Simple Regulator","Smocker","Green","The Bench","Yes","White Suit Integrity Amulet"
1810,"The Pillowcase","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Hull Breacher","Scripture","None","Kreegal Cloak","White","Dark Ether House","None","None"
1811,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Multiband Regulator","Vayon Worksuit","Gray","The Bench","None","Red Sanity Amulet"
1812,"Backstab Squeezebox","The Void","Fancypack","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","Heavy Duty Regulator","Smocker","Green","Topography Society","None","Medium Grey Air Supply Amulet"
1813,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Beshtala Expatriation Roster","None","Light Grey Milo Charm"
1814,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Cowl","Multiband Regulator","Smocker","Blue","Cove Stalkers","None","None"
1815,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Roulette","Strapt","Utility Vest","Duggie","Black","Cove Stalkers","None","None"
1816,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Thruster","Sacred Passage","None","Smocker","Green","Saddler Racing League","None","None"
1817,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","The Pyramid Order","None","None"
1818,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Ricochet","Simple Regulator","Vayon Worksuit","Gray","Deepsatch","None","Dark Grey Air Supply Amulet"
1819,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","Red","Survivalist Guild","None","Medium Grey Sanity Amulet"
1820,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Saddler Racing League","None","Light Grey Suit Integrity Amulet"
1821,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Machinist Social Club","None","Light Grey Suit Integrity Amulet"
1822,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","The Spunker","Solid","Multiband Regulator","Deverin Jacket","Yellow","Cathedral","None","None"
1823,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Trunker","Foss","None","Vayon Worksuit","White","Engineers Guild","None","None"
1824,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Strapt","Utility Vest","Duggie","Black","Union of Merchants","None","None"
1825,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","The Bench","Yes","Yellow Drippy Charm"
1826,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Trunker","Sacred Passage","None","Smocker","Green","The Man Earlie Expeditionary Society","None","Medium Grey Sanity Amulet"
1827,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Kreegal Cloak","Black","Topography Society","None","Dark Grey Air Supply Amulet"
1828,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Simple Regulator","Smocker","Yellow","Topography Society","None","White Air Supply Amulet"
1829,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Scripture","Heavy Duty Regulator","Kreegal Cloak","White","Engineers Guild","Yes","Dark Grey Air Supply Amulet"
