id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
1777,"Chainflicker","None","Drifter","None","Dugall Freight","The Scaper","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
1778,"Roulette","The Sink","Drifter","None","Orbital Miners Guild","BC Shiner","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","White Drippy Charm"
1779,"Steady Hammer","Little Huffy","Drifter","None","Freebooters Flag","The Stalker","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
1780,"Trunker","The Sink","Drifter","None","No Damage","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","White","Solid","None"
1781,"The (Fat) Koltso","Little Huffy","Drifter","None","Freebooters Flag","The Stalker","None","The Void","Phase 2","Yes","Smocker","None","None","White","Cowl","Dark Grey Air Supply Amulet"
1782,"The Shriek","The Sink","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Gray","Solid","Light Grey Milo Charm"
1783,"Trunker","Caddypack","Drifter","None","House of Ourbous","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
1784,"Hull Breacher","Fancypack","Drifter","None","Longhaulers","The Scaper","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","None"
1785,"Cove Carver","None","Drifter","None","High Tox","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Blue","Cowl","None"
1786,"The Shriek","Little Huffy","Drifter","None","Orbital Miners Guild","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Red","Cowl","Dark Grey Sanity Amulet"
1787,"Trunker","The Sink","Drifter","None","Grid Gang","The Spyhopper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Sanity Amulet"
1788,"The Nozzle","Caddypack","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","White","Cowl","None"
1789,"Hole Puncher","Little Huffy","Drifter","None","Round Power","Trailmaker","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","Medium Grey Air Supply Amulet"
1790,"The Koltso","None","Drifter","None","Mark Stay","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Solid","Light Grey Air Supply Amulet"
1791,"Trunker","The Sink","Drifter","None","Cove Stalkers","Puffy Face","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Black","Chords","Light Grey Suit Integrity Amulet"
1792,"Wedge","The Sink","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","None"
1793,"Cove Carver","None","Drifter","None","Dugall Freight","Backstab Squeezebox","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
1794,"The Koltso","Fancypack","Drifter","None","Venonauts","The Pillowcase","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Blue","Cowl","Light Grey Air Supply Amulet"
1795,"Hull Breacher","Caddypack","Drifter","None","Free Fringe","Hardhat","None","The Void","Phase 2","Yes","Smocker","None","None","Yellow","Cowl","None"
1796,"The Nozzle","Caddypack","Drifter","None","Grid Gang","Puffy Face","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1797,"The Shriek","Fancypack","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1798,"The Koltso","Fancypack","Drifter","None","Venonauts","Kipper","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Air Supply Amulet"
1799,"Bolt Harp","Fancypack","Drifter","None","The Forsaken","The Stalker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","White Air Supply Amulet"
1800,"Trunker","The Sink","Drifter","None","Saddler Racing League","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Sanity Amulet"
1801,"Trunker","Bobpack","Drifter","None","Combustible","Boxhead","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","None"
1802,"Thruster","Caddypack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Sacred Passage","None"
1803,"Trunker","Caddypack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Dark Grey Drippy Charm"
1804,"Trunker","Caddypack","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Medium Grey Sanity Amulet"
1805,"The (Fat) Koltso","None","Drifter","None","Slash Patcher","Hardhat","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","Medium Grey Drippy Charm"
1806,"The (Fat) Koltso","Caddypack","Drifter","None","Combustible","Boxhead","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","White Drippy Charm"
1807,"Death Beam","Fancypack","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Yellow Drippy Charm"
1808,"Steady Hammer","Fancypack","Drifter","None","Longhaulers","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1809,"Hull Breacher","Caddypack","Drifter","None","The Bench","Trailmaker","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Green","Sacred Passage","White Suit Integrity Amulet"
1810,"Hull Breacher","None","Drifter","None","Dark Ether House","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Kreegal Cloak","None","None","White","Scripture","None"
1811,"Hull Breacher","The Sink","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","Red Sanity Amulet"
1812,"Hole Puncher","Fancypack","Drifter","None","Topography Society","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","Medium Grey Air Supply Amulet"
1813,"The Shriek","Bobpack","Drifter","None","Beshtala Expatriation Roster","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","Light Grey Milo Charm"
1814,"Bolt Harp","The Sink","Drifter","None","Cove Stalkers","Hardhat","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Blue","Cowl","None"
1815,"Roulette","None","Drifter","None","Cove Stalkers","Puffy Face","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
1816,"Thruster","None","Drifter","None","Saddler Racing League","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","None"
1817,"Trunker","The Sink","Drifter","None","The Pyramid Order","The Spyhopper","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1818,"Bolt Harp","Caddypack","Drifter","None","Deepsatch","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Dark Grey Air Supply Amulet"
1819,"Trunker","None","Drifter","None","Survivalist Guild","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","Medium Grey Sanity Amulet"
1820,"The Nozzle","Fancypack","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1821,"Hull Breacher","Fancypack","Drifter","None","Machinist Social Club","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1822,"The Spunker","The Sink","Drifter","None","Cathedral","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
1823,"Trunker","None","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
1824,"Steady Hammer","None","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
1825,"Trunker","Caddypack","Drifter","None","The Bench","Trailmaker","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Yellow Drippy Charm"
1826,"Trunker","None","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","Medium Grey Sanity Amulet"
1827,"Trunker","Caddypack","Drifter","None","Topography Society","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Black","Solid","Dark Grey Air Supply Amulet"
1828,"The Shriek","Fancypack","Drifter","None","Topography Society","The Scaper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","White Air Supply Amulet"
1829,"Hull Breacher","Little Huffy","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","White","Scripture","Dark Grey Air Supply Amulet"
1830,"Thruster","None","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
1831,"The Koltso","Little Huffy","Drifter","None","Beshtala Expatriation Roster","The Spyhopper","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Light Grey Air Supply Amulet"
1832,"Hull Breacher","Little Huffy","Drifter","None","Union of Merchants","The Stalker","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","White Air Supply Amulet"
1833,"The Shriek","Little Huffy","Drifter","None","Dugall Freight","Good King Maude","None","The Void","Phase 2","Yes","Smocker","None","None","Yellow","Cowl","Yellow Air Supply Amulet"
1834,"Reef Sweeper","None","Drifter","None","Saddler Racing League","The Scaper","None","The Void","Phase 2","None","Prongshell","None","None","Black","Solid","None"
1835,"Bolt Harp","Little Huffy","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","None"
1836,"Bolt Harp","Caddypack","Drifter","None","Dark Ether House","Good King Maude","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
1837,"Everdull Snippies","None","Drifter","None","Venonauts","Kipper","Eye Patch","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
1838,"The (Fat) Koltso","Bobpack","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Medium Grey Sanity Amulet"
1839,"The Nozzle","Little Huffy","Drifter","None","No Damage","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
1840,"Bolt Harp","Bobpack","Drifter","None","High Tox","Hardhat","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Blue","Cowl","None"
1841,"Bolt Harp","Fancypack","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
1842,"Bolt Harp","None","Drifter","None","No Damage","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","None"
1843,"Cove Carver","Bobpack","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","Yellow Drippy Charm"
1844,"The Koltso","The Sink","Drifter","None","Cove Stalkers","Backstab Squeezebox","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
1845,"Hull Breacher","Little Huffy","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Green","Solid","None"
1846,"The Shriek","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","Headforge","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Blue","Cowl","None"
1847,"The Nozzle","Fancypack","Drifter","None","Engineers Guild","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Solid","White Air Supply Amulet"
1848,"The Shriek","Fancypack","Drifter","None","Engineers Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Red","Sacred Passage","Light Grey Milo Charm"
1849,"Hull Breacher","Caddypack","Drifter","None","Mercenary","Hardhat","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Blue","Cowl","None"
1850,"The Nozzle","Caddypack","Drifter","None","Grid Gang","Hardhat","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1851,"The Shriek","None","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1852,"Trunker","Bobpack","Drifter","None","The Path","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Cowl","None"
1853,"The Nozzle","None","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
1854,"Steady Hammer","None","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1855,"Trunker","None","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
1856,"The Koltso","Little Huffy","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Yellow Air Supply Amulet"
1857,"Hull Breacher","None","Drifter","None","Orbital Miners Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
1858,"Cove Carver","Caddypack","Drifter","None","Topography Society","The Spyhopper","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Decontamination Amulet"
1859,"The Shriek","Fancypack","Drifter","None","Combustible","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","Dark Grey Sanity Amulet"
1860,"Trunker","Bobpack","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","None"
1861,"Steady Hammer","Bobpack","Drifter","None","Round Power","Trailmaker","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","None"
1862,"Roulette","Bobpack","Drifter","None","The Path","Kipper","Leergear","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","White Drippy Charm"
1863,"Faulk's Icepick","Caddypack","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Air Supply Amulet"
1864,"Steady Hammer","The Sink","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","None"
1865,"Hull Breacher","The Sink","Drifter","None","The Man Earlie Expeditionary Society","BC Shiner","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
1866,"Steady Hammer","Little Huffy","Drifter","None","Deepsatch","Headforge","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Dark Grey Air Supply Amulet"
1867,"Bolt Harp","Bobpack","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1868,"Roulette","The Sink","Drifter","None","Slash Patcher","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","None"
1869,"Steady Hammer","Little Huffy","Drifter","None","Freebooters Flag","Trailmaker","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","White Air Supply Amulet"
1870,"The Nozzle","Caddypack","Drifter","None","The Borsch Conservatory of Gastrotechs","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
1871,"The (Fat) Koltso","None","Drifter","None","Cathedral","Backstab Squeezebox","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1872,"Steady Hammer","Caddypack","Drifter","None","Beshtala Expatriation Roster","BC Shiner","Eye Patch","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","None"
1873,"The Nozzle","Bobpack","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","None","The Void","Phase 2","None","Duggie","Simple Regulator","None","Black","Strapt","Dark Grey Decontamination Amulet"
1874,"Thruster","Little Huffy","Drifter","None","Longhaulers","Headforge","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
1875,"The Shriek","Bobpack","Drifter","None","The Man Earlie Expeditionary Society","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Milo Charm"
1876,"Hull Breacher","Caddypack","Drifter","None","Union of Merchants","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","White","Solid","White Drippy Charm"
1877,"Chainflicker","Little Huffy","Drifter","None","Longhaulers","The Spyhopper","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Yellow Air Supply Amulet"
1878,"The (Fat) Koltso","Caddypack","Drifter","None","Venonauts","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","None"
1879,"Hull Breacher","The Sink","Drifter","None","Roving Terror","The Pillowcase","Hypervisor","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","None"
1880,"Steady Hammer","Fancypack","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","None"
1881,"Trunker","Little Huffy","Drifter","None","Free Fringe","Puffy Face","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
1882,"Trunker","The Sink","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Medium Grey Sanity Amulet"
1883,"Steady Hammer","None","Drifter","None","Saddler Racing League","Hangtooth","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
1884,"Trunker","Fancypack","Drifter","None","Topography Society","Kipper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
1885,"Trunker","Fancypack","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","None","Smocker","None","None","White","Cowl","None"
1886,"Hole Puncher","Bobpack","Drifter","None","House of Ourbous","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Medium Grey Air Supply Amulet"
1887,"The (Fat) Koltso","Caddypack","Drifter","None","No Damage","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Gray","Solid","None"
1888,"Thruster","Fancypack","Drifter","None","Cathedral","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","White","Solid","None"
1889,"The (Fat) Koltso","Fancypack","Drifter","None","Deepsatch","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","Medium Grey Drippy Charm"
1890,"The Nozzle","The Sink","Drifter","None","No Damage","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","None"
1891,"Hull Breacher","Little Huffy","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","None"
1892,"Hull Hooker","Caddypack","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Blue","Cowl","None"
1893,"The Nozzle","Fancypack","Drifter","None","Freebooters Flag","The Stalker","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","White","Cap Flag","Dark Grey Decontamination Amulet"
1894,"Death Beam","Little Huffy","Drifter","None","Glass Womb","Soup Gagers","None","The Void","Phase 2","Yes","Vayon Worksuit","Utility Vest","None","Black","Solid","Dark Grey Decontamination Amulet"
1895,"The Koltso","Caddypack","Drifter","None","League of Channel","The Scaper","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Gray","Solid","Light Grey Decontamination Amulet"
1896,"Death Beam","None","Drifter","None","Engineers Guild","The Pillowcase","Hypervisor","The Void","Phase 2","None","Kreegal Cloak","None","None","Black","Solid","None"
1897,"The Shriek","Fancypack","Drifter","None","Dugall Freight","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","Light Grey Milo Charm"
1898,"Steady Hammer","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1899,"Hull Breacher","Fancypack","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","None"
1900,"Chainflicker","Caddypack","Drifter","None","Machinist Social Club","Puffy Face","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Gray","Solid","None"
1901,"The (Fat) Koltso","Little Huffy","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","Yes","Duggie","Fine Tool Harness","None","Black","Strapt","Yellow Air Supply Amulet"
1902,"Prongseat","None","Drifter","None","Longhaulers","The Scaper","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","Dark Grey Air Supply Amulet"
1903,"The Nozzle","Fancypack","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
1904,"Steady Hammer","The Sink","Drifter","None","Cross of the Round Power","BC Shiner","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Red Sanity Amulet"
1905,"Trunker","Caddypack","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1906,"Round Foot","None","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","White","Sacred Passage","None"
1907,"Steady Hammer","Fancypack","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Gray","Solid","None"
1908,"The (Fat) Koltso","The Sink","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Medium Grey Drippy Charm"
1909,"Bolt Harp","Fancypack","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
1910,"The (Fat) Koltso","Little Huffy","Drifter","None","High Tox","Puffy Face","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Yellow Air Supply Amulet"
1911,"Ball Claw","Little Huffy","Drifter","None","Subsurface Miners Guild","Backstab Squeezebox","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","White","Solid","None"
1912,"Cove Carver","Fancypack","Drifter","None","Margul","Puffy Face","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","Light Grey Suit Integrity Amulet"
1913,"The (Fat) Koltso","None","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Gray","Sacred Passage","None"
1914,"Ball Claw","Bobpack","Drifter","None","Subsurface Miners Guild","BC Shiner","Driftcore Shades","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","Medium Grey Sanity Amulet"
1915,"Bolt Harp","None","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Gray","Solid","None"
1916,"Chainflicker","None","Drifter","None","Beshtala Expatriation Roster","The Scaper","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
1917,"Ball Claw","The Sink","Drifter","None","No Damage","Kipper","Leergear","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Solid","Red Sanity Amulet"
1918,"Roulette","None","Drifter","None","Engineers Guild","BC Shiner","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
1919,"Thruster","Caddypack","Drifter","None","Margul","Headforge","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
1920,"Steady Hammer","The Sink","Drifter","None","Beshtala Expatriation Roster","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Light Grey Suit Integrity Amulet"
1921,"The Shriek","Caddypack","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","Driftcore Shades","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","Light Grey Milo Charm"
1922,"Trunker","Caddypack","Drifter","None","House of Ourbous","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Yellow Drippy Charm"
1923,"Bolt Harp","Little Huffy","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
1924,"The Shriek","Bobpack","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","Light Grey Milo Charm"
1925,"The (Fat) Koltso","The Sink","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","None"
1926,"The Shriek","Caddypack","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","Light Grey Milo Charm"
1927,"Trunker","Fancypack","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","White","Solid","Medium Grey Sanity Amulet"
1928,"Hull Breacher","Little Huffy","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Red Air Supply Amulet"
1929,"Round Foot","Little Huffy","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Red","Cowl","Dark Grey Air Supply Amulet"
1930,"Trunker","Fancypack","Drifter","None","Dugall Freight","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","Medium Grey Sanity Amulet"
1931,"Hull Breacher","Caddypack","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Yellow Drippy Charm"
1932,"Bolt Harp","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","Boxhead","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","White Air Supply Amulet"
